web_scraper_order,web_scraper_start_url,pagination,review,timestamp
"1780196867-33","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Responsif, cepat, sesuai pesanan/deskripsi. Good jobs. Thanks🙏","2026-05-10 18:32 | Variasi: Biru,8/256"
"1780196867-34","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Barang Sesuai, Harga Juga Bersahabat, Toko Amanah. Recomended Pokoknya Belanja Di Sini. . .","2026-04-07 02:02 | Variasi: Pink,8/256"
"1780196867-35","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Awalnya ragu tapi alhamdulillah toko ini memang amanah,,barangnya sampek dengan selamat gak ada lecet sedikitpun,,trima kasih","2026-04-18 13:03 | Variasi: Pink,8/256"
"1780196867-36","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","packingnya aman bgt jadi ga takut ke bantjng2","2026-02-06 21:57 | Variasi: Biru,8/256"
"1780196867-37","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","recommended bangettt buat kalian yang cari hp low budget,mendang mending dan hp nya bagus,meskipun ga sebagus hp di toko asli nya,berfungsi dengan baik dan warna warnanya yang lucu lucu,besttt","2026-04-15 20:14 | Variasi: Pink,8/256"
"1780196867-38","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","","2026-05-03 18:42 | Variasi: Pink,8/256"
"1780196867-39","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Puas bngt beli ditoko ini,,next mau psen lgi  ah😊😊,,dan jangan ragu buat beli disini🙏🏽","2026-04-18 17:43 | Variasi: Pink,8/256"
"1780196867-40","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Sesuai pesanan warna, bagus dan hp baru... Gak sia² belanja di di tokoh ini barangnya benar dengan yang di pesan","2026-02-20 16:53 | Variasi: Pink,8/256"
"1780196867-41","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","","2026-04-18 21:12 | Variasi: Merah,8/256, Biru,8/256"
"1780196867-42","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","baru pertama kali beli hp online, awalnya ragu tapi setelah paketnya datang alhamdulillah sesuai di pict ayo ges jgn ragu untuk beli dan tanya sama kknya ya di live🙂‍↔️, pengiriman pake plastik berangin safety sampai ke kalsel wak🥴","2026-02-22 13:45 | Variasi: Pink,8/256"
"1780196867-43","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Barang sampri dengan selamat, terima kasih buat tokonya, semoga jaya selalau","2026-02-08 09:16 | Variasi: Pink,8/256"
"1780196867-44","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Hp kw setelah cek imei gak terdaftar di vivo
Kirain ori","2026-01-29 23:11 | Variasi: Biru Muda,8/256"
"1780196867-45","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Alhamdulillah barang nya udah nyampe sesuai dwngan pesana  mudaha mudahan awet","2026-05-05 13:57 | Variasi: Biru,8/256"
"1780196867-46","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Better bisa dipake untuk anak sekolah","2026-02-02 08:30 | Variasi: Biru Muda,6/128"
"1780196867-47","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Semoga sukses selalu.. 
Terimakasih sudah amanah buat toko ya🙏","2026-03-12 18:19 | Variasi: Biru Muda,8/256"
"1780196867-48","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Tadinya sempet ragu,alhamdulillah bgitu sampai barang nya bagus dan berguna","2026-02-16 16:34 | Variasi: Biru,8/256"
"1780196867-49","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Alhamdulilah sesuai ekspektasi.. minta langsung di nyalain dari sananya jd pas dateng tinggal masukin kartu aja..","2026-04-16 18:10 | Variasi: Pink,8/256"
"1780196867-50","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","","2026-05-06 18:12 | Variasi: Pink,8/256"
"1780196867-51","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Alhamdulillah barangnya sudah sampai tujuan dengan selamat pengemasan cepat pengiriman barang standar respon penjual sangat baik Terima kasih buat penjual dan kurirnya 🙏🙏🙏 minus cuman free gift kurang satu yaitu headset. Saya maklumi aja barangnya bagus no minus masih tersegel","2026-04-09 09:48 | Variasi: Biru Muda,8/256"
